priority,word,zh,category,filename,prompt
1,businessman,商人,Occupations,data/images/vocab/word_businessman.webp,"a businessman wearing a suit and holding a briefcase, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,button,按鈕,Clothing & accessories,data/images/vocab/word_button.webp,"a small button on a white shirt, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,cabbage,高麗菜,Food & drinks,data/images/vocab/word_cabbage.webp,"a head of cabbage on a kitchen counter, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,camera,相機,Houses & apartments,data/images/vocab/word_camera.webp,"a camera on a tripod in a living room, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,candle,蠟燭,Houses & apartments,data/images/vocab/word_candle.webp,"a lit candle on a coffee table, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,cap,帽子,Clothing & accessories,data/images/vocab/word_cap.webp,"a baseball cap on a wooden table, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,card,卡片,"Sports, interests & hobbies",data/images/vocab/word_card.webp,"a playing card on a green tablecloth, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,carpet,地毯,Houses & apartments,data/images/vocab/word_carpet.webp,"a carpet on a wooden floor, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,carrot,紅蘿蔔,Food & drinks,data/images/vocab/word_carrot.webp,"a orange carrot on a plate, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,cartoon,卡通片,"Sports, interests & hobbies",data/images/vocab/word_cartoon.webp,"a cartoon character on a tv screen, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,ceiling,天花板,Houses & apartments,data/images/vocab/word_ceiling.webp,"a white ceiling with a light fixture, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,cereal,穀物,Food & drinks,data/images/vocab/word_cereal.webp,"a bowl of cereal with milk, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,chair,椅子,Houses & apartments,data/images/vocab/word_chair.webp,"a comfortable chair in a cozy living room, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,cheese,起司,Food & drinks,data/images/vocab/word_cheese.webp,"a wedge of yellow cheese on a plate, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,chess,棋,"Sports, interests & hobbies",data/images/vocab/word_chess.webp,"a chessboard with chess pieces, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,chopsticks,筷子,Tableware,data/images/vocab/word_chopsticks.webp,"a pair of chopsticks on a table, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,clean,乾淨的,Houses & apartments,data/images/vocab/word_clean.webp,"a clean and tidy living room with a vacuum, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,clear,清除,Weather & nature,data/images/vocab/word_clear.webp,"a clear blue sky with sunshine, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,clerk,職員,Occupations,data/images/vocab/word_clerk.webp,"a clerk sitting at a desk, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,climate,氣候,Weather & nature,data/images/vocab/word_climate.webp,"a globe with a sunny climate, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,closet,衣櫥,Houses & apartments,data/images/vocab/word_closet.webp,"a closet with clothes and shoes, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,cloudy,多雲,Weather & nature,data/images/vocab/word_cloudy.webp,"a cloudy sky with gray clouds, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,coast,海岸,Geographical terms,data/images/vocab/word_coast.webp,"a rocky coast with seagulls, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,coat,外套,Clothing & accessories,data/images/vocab/word_coat.webp,"a brown coat hanging on a hook, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,cockroach,蟑螂,Animals & insects,data/images/vocab/word_cockroach.webp,"a brown cockroach on a kitchen counter, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,coffee,咖啡,Food & drinks,data/images/vocab/word_coffee.webp,"a cup of coffee on a wooden table, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,cola,可樂,Food & drinks,data/images/vocab/word_cola.webp,"a glass of cola on a table, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,comb,梳子,Clothing & accessories,data/images/vocab/word_comb.webp,"a comb on a bathroom counter, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,comic,漫畫,"Sports, interests & hobbies",data/images/vocab/word_comic.webp,"a comic book on a bookshelf, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,company,公司,Occupations,data/images/vocab/word_company.webp,"a company building with a logo, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,contact lens,隱形眼鏡,Clothing & accessories,data/images/vocab/word_contact_lens.webp,"an open case with a contact lens inside, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,cook,廚師,Food & drinks,data/images/vocab/word_cook.webp,"a cook standing in a kitchen, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,cool,涼爽的,Personal characteristics,data/images/vocab/word_cool.webp,"a cartoon child with a cool smile, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,corn,玉米,Food & drinks,data/images/vocab/word_corn.webp,"an ear of corn on a wooden table, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,cotton,棉布,Clothing & accessories,data/images/vocab/word_cotton.webp,"a ball of white cotton on a desk, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,couch,長椅,Houses & apartments,data/images/vocab/word_couch.webp,"a brown couch in a living room, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,cowboy,牛仔,Occupations,data/images/vocab/word_cowboy.webp,"a cowboy riding a horse in a field, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,cream,奶油,Food & drinks,data/images/vocab/word_cream.webp,"a bowl of whipped cream on a plate, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,cross,叉,Transportation,data/images/vocab/word_cross.webp,"a traffic cross with cars and pedestrians, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,cup,杯子,Tableware,data/images/vocab/word_cup.webp,"a white cup on a wooden table, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,curtain,窗簾,Houses & apartments,data/images/vocab/word_curtain.webp,"a red curtain hanging in a window, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,custom,風俗,Holidays & festivals,data/images/vocab/word_custom.webp,"a traditional festival with people in costumes, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,decorate,裝飾,Houses & apartments,data/images/vocab/word_decorate.webp,"a cartoon child decorating a Christmas tree, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,deer,鹿,Animals & insects,data/images/vocab/word_deer.webp,"a deer standing in a forest, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,degree,程度,Weather & nature,data/images/vocab/word_degree.webp,"a thermometer showing a high temperature, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,delicious,可口的,Food & drinks,data/images/vocab/word_delicious.webp,"a plate of tasty food with a happy face, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,dentist,牙醫,Occupations,data/images/vocab/word_dentist.webp,"a dentist in a white coat with a dental chair, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,desert,沙漠,Geographical terms,data/images/vocab/word_desert.webp,"a sandy desert with cacti and a sun, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,design,設計,Houses & apartments,data/images/vocab/word_design.webp,"an architect drawing a building plan, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,desk,桌子,Houses & apartments,data/images/vocab/word_desk.webp,"a wooden desk with a chair, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,dessert,甜點,Food & drinks,data/images/vocab/word_dessert.webp,"a plate of ice cream with fruits, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,diamond,鑽石,Clothing & accessories,data/images/vocab/word_diamond.webp,"a diamond ring on a person's finger, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,dining room,飯廳,Houses & apartments,data/images/vocab/word_dining_room.webp,"a dining room with a long table and chairs, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,dinner,晚餐,Food & drinks,data/images/vocab/word_dinner.webp,"a delicious dinner on a plate, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,diplomat,外交官,Occupations,data/images/vocab/word_diplomat.webp,"a man in a suit shaking hands with another man, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,dish,盤子,Tableware,data/images/vocab/word_dish.webp,"a white dish on a kitchen counter, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,dodge ball,躲避球,"Sports, interests & hobbies",data/images/vocab/word_dodge_ball.webp,"a dodge ball flying through the air, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,doll,玩具娃娃,"Sports, interests & hobbies",data/images/vocab/word_doll.webp,"a cute doll sitting on a shelf, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,donkey,驢,Animals & insects,data/images/vocab/word_donkey.webp,"a brown donkey standing in a field, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,doughnut,甜甜圈,Food & drinks,data/images/vocab/word_doughnut.webp,"a pink doughnut on a white plate, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,downstairs,樓下,Houses & apartments,data/images/vocab/word_downstairs.webp,"a staircase leading downstairs to a cozy room, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,dragon,龍,Animals & insects,data/images/vocab/word_dragon.webp,"a colorful dragon flying in the sky, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,drama,戲劇,"Sports, interests & hobbies",data/images/vocab/word_drama.webp,"a theater stage with actors performing a drama, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,drawer,抽屜,Houses & apartments,data/images/vocab/word_drawer.webp,"an open drawer with clothes inside, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,dress,裙子,Clothing & accessories,data/images/vocab/word_dress.webp,"a beautiful dress hanging on a clothes rack, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,dresser,梳妝台,Houses & apartments,data/images/vocab/word_dresser.webp,"a white dresser with open drawers in a bedroom, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,drive,駕駛,Transportation,data/images/vocab/word_drive.webp,"a cartoon child driving a toy car, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,driver,司機,Occupations,data/images/vocab/word_driver.webp,"a driver sitting in a car with a smile, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,drum,鼓,"Sports, interests & hobbies",data/images/vocab/word_drum.webp,"a drum on a music stand, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,dry,乾燥,Weather & nature,data/images/vocab/word_dry.webp,"a dry cracked earth landscape, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,dryer,烘乾機,Houses & apartments,data/images/vocab/word_dryer.webp,"a white dryer in a laundry room, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,dumpling,餃子,Food & drinks,data/images/vocab/word_dumpling.webp,"a steaming dumpling on a bamboo plate, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,eagle,鷹,Animals & insects,data/images/vocab/word_eagle.webp,"a soaring eagle in the clear blue sky, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,earrings,耳環,Clothing & accessories,data/images/vocab/word_earrings.webp,"a pair of shiny earrings on a velvet cushion, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,earth,地球,Weather & nature,data/images/vocab/word_earth.webp,"a blue planet earth in space, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,earthquake,地震,Weather & nature,data/images/vocab/word_earthquake.webp,"a city building shaking during an earthquake, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,Easter,復活節,Holidays & festivals,data/images/vocab/word_easter.webp,"a decorated easter egg on a table, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,employ,採用,Occupations,data/images/vocab/word_employ.webp,"a cartoon child getting a job offer from an employer, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,engineer,工程師,Occupations,data/images/vocab/word_engineer.webp,"a person in a hard hat with an engineer badge, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,environment,環境,Geographical terms,data/images/vocab/word_environment.webp,"a beautiful natural environment with trees and birds, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,exercise,鍛鍊,"Sports, interests & hobbies",data/images/vocab/word_exercise.webp,"a cartoon child running on a treadmill in a gym, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,fan,扇子,"Sports, interests & hobbies",data/images/vocab/word_fan.webp,"a colorful fan on a table blowing air, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,farmer,農民,Occupations,data/images/vocab/word_farmer.webp,"a happy farmer holding a basket of fresh vegetables, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,faucet,龍頭,Houses & apartments,data/images/vocab/word_faucet.webp,"a kitchen faucet with running water, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,fence,柵欄,Houses & apartments,data/images/vocab/word_fence.webp,"a white picket fence surrounding a house, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,festival,節慶,Holidays & festivals,data/images/vocab/word_festival.webp,"a colorful festival with balloons and a Ferris wheel, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,film,電影,"Sports, interests & hobbies",data/images/vocab/word_film.webp,"a movie film on a reel, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,fisherman,漁夫,Occupations,data/images/vocab/word_fisherman.webp,"a fisherman in a small boat, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,fix,使固定,Houses & apartments,data/images/vocab/word_fix.webp,"a toolbox on a workbench, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,flashlight,手電筒,Houses & apartments,data/images/vocab/word_flashlight.webp,"a flashlight on a bedside table, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,flat tire,輪胎漏氣,Transportation,data/images/vocab/word_flat_tire.webp,"a car with a flat tire on the side of the road, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,floor,地面,Houses & apartments,data/images/vocab/word_floor.webp,"a shiny floor in a big room, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,flour,麵粉,Food & drinks,data/images/vocab/word_flour.webp,"a bag of flour on a kitchen counter, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,flute,長笛,"Sports, interests & hobbies",data/images/vocab/word_flute.webp,"a silver flute on a music stand, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,fly,飛,Transportation,data/images/vocab/word_fly.webp,"a small airplane in the sky, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,foggy,有霧的,Weather & nature,data/images/vocab/word_foggy.webp,"a foggy window with water droplets, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,food,食物,Food & drinks,data/images/vocab/word_food.webp,"a plate of delicious food on a table, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,football,足球,"Sports, interests & hobbies",data/images/vocab/word_football.webp,"a brown football on a grass field, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,forest,森林,Geographical terms,data/images/vocab/word_forest.webp,"a dense forest with tall trees, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,fork,叉,Tableware,data/images/vocab/word_fork.webp,"a fork on a white tablecloth, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,freezer,冰箱,Houses & apartments,data/images/vocab/word_freezer.webp,"an open freezer with ice cream and frozen food, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,freezing,冷凍,Weather & nature,data/images/vocab/word_freezing.webp,"a frozen ice cube on a table, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,frisbee,飛盤,"Sports, interests & hobbies",data/images/vocab/word_frisbee.webp,"a colorful frisbee flying in the air, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,fruit,水果,Food & drinks,data/images/vocab/word_fruit.webp,"a bowl of colorful fruit on a counter, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,full,滿的,Food & drinks,data/images/vocab/word_full.webp,"a full glass of juice on a table, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,game,遊戲,"Sports, interests & hobbies",data/images/vocab/word_game.webp,"a boy playing a board game on a table, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,garage,車庫,Houses & apartments,data/images/vocab/word_garage.webp,"a small garage with a car inside, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,garden,花園,Houses & apartments,data/images/vocab/word_garden.webp,"a beautiful garden with flowers and trees, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,gate,門,Houses & apartments,data/images/vocab/word_gate.webp,"a small gate with a lock and a garden behind, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,glass,玻璃,Tableware,data/images/vocab/word_glass.webp,"a clear glass filled with water on a table, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,glove,手套,Clothing & accessories,data/images/vocab/word_glove.webp,"a red glove on a snowman's hand, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,goat,山羊,Animals & insects,data/images/vocab/word_goat.webp,"a goat climbing on a rocky mountain, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,gold,金子,Clothing & accessories,data/images/vocab/word_gold.webp,"a gold necklace on a white background, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,golf,高爾夫球,"Sports, interests & hobbies",data/images/vocab/word_golf.webp,"a golf ball on a green grass field, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,goose,鵝,Animals & insects,data/images/vocab/word_goose.webp,"a white goose swimming in a pond, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,guava,番石榴,Food & drinks,data/images/vocab/word_guava.webp,"a yellow guava on a wooden table, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,guide,指導,Occupations,data/images/vocab/word_guide.webp,"a cartoon child guiding a friend through a forest, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,guitar,吉他,"Sports, interests & hobbies",data/images/vocab/word_guitar.webp,"a brown guitar leaning against a wall, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,hair dresser,理髮師,Occupations,data/images/vocab/word_hair_dresser.webp,"a hair dresser cutting hair in a salon, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,hall,大廳,Houses & apartments,data/images/vocab/word_hall.webp,"a grand hall with a high ceiling, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,Halloween,萬聖節,Holidays & festivals,data/images/vocab/word_halloween.webp,"a spooky Halloween tree with orange lights, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,ham,火腿,Food & drinks,data/images/vocab/word_ham.webp,"a sliced ham on a big plate, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,hammer,槌,Houses & apartments,data/images/vocab/word_hammer.webp,"a hammer on a wooden workbench, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,handkerchief,手帕,Clothing & accessories,data/images/vocab/word_handkerchief.webp,"a white handkerchief on a table, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,hanger,衣架,Houses & apartments,data/images/vocab/word_hanger.webp,"a metal hanger on a clothes hook, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,hat,帽子,Clothing & accessories,data/images/vocab/word_hat.webp,"a red hat on a wooden hat stand, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
1,heater,加熱器,Houses & apartments,data/images/vocab/word_heater.webp,"a heater in a living room, flat clean illustration, soft pastel colors, plain white background, centered composition, no text, no letters"
